track,artistname,artist_count,releasedyear,releasedmonth,releasedday,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,country_mb,tags_lastfm
problemï¿½,"alvaro diaz, rauw alejandro",2,2021,10,22,1517,0,209768491,42,7,15,0,4,92,d,minor,73,37,74,28,0,14,6,nan,nan
nosso quadro,"ana castela, agroplay",2,2023,2,2,894,9,233801632,14,88,66,3,72,160,a,major,69,61,71,33,0,31,20,nan,nan
it's the most wonderful time of the year,andy williams,1,1963,10,14,8879,0,663832097,182,107,160,0,1,202,g,major,24,76,60,77,0,12,4,united states,oldies; 60s; easy listening; pop; male vocalists; american; jazz; lounge; andy williams; christmas; classic rock; swing; 50s; crooners; crooner; vocal; retro; iowa; usa; smooth jazz; soundtrack; 70s; classic pop; country; rock; traditional pop; romantic; acid jazz; easy; andy; all; golden oldies; male; soul; classic; favorites; acoustic; soft rock; funk; blues; groove; big band; funky; jecks; deceased; wall lake; love; vocal jazz; vocals; smooth; male vocalist; 60's; 1960s; everything; david; scott; evergreen; easy listning; the; christmas music; vocal pop; dexter; w; erotique; and; williams; schlageroldies; the king of easy listening; where do i beginlove story; moyer; farbel
tak segampang itu,anggi marito,1,2022,12,2,213,6,179659294,7,6,0,0,48,130,f,major,51,18,44,76,0,11,3,nan,nan
envolver,anitta,1,2021,11,11,4673,2,546191065,123,113,180,1,4,92,e,minor,81,40,73,15,0,9,8,brazil,pop; brazilian; funk; female vocalists; dance; brazil; latin; anitta; rnb; dance pop; seen live; diva; funk melody; sandy leah; reggaeton; cara de cavalo com aids; electropop; female; brasil; vulgar; funk pop; lixo; chacota; coisa de pobre; female vocalist; guilty pleasure; latin pop; teen; brazilian pop; electronic; folk; sexy; dubstep; pop rock; acoustic; dance-pop; r&b; mpb; sweet; funk carioca; baile funk; 10s; tosca; br; claudia leitte; rainha; b-pop; tapete da valesca; eu peidando no microfone seria melhor; ridicula; mc anitta; better than selena gomez; prepara; rainha do pop brasileiro; heavy metal; hip-hop; spanish; chillout; indie; jazz; hip hop; chill; rock; alternative; rap; indie pop; usa; love; queen; world; urban; britpop; indietronica; girls; 3; remix; gay; lady gaga; female vocals; world music; latino; dj; beat; hot; worldwide; melody; lovely; visual; rio de janeiro; female singers; português; baby; misc; 2010s; rihanna; eletronic; south american; girl; ladies; thoughts
la loto,"anitta, tini, becky g",3,2022,7,6,945,0,121189256,49,3,57,0,0,90,c#,major,85,80,83,10,0,8,11,nan,nan
tom's diner,"annenmaykantereit, giant rooks",2,2019,6,28,2605,0,236872197,15,48,50,0,3,98,f#,minor,68,33,43,38,0,36,14,nan,nan
ley seca,"anuel aa, jhay cortez",2,2021,9,2,2012,0,355219175,101,12,38,0,0,105,g#,major,76,58,84,10,0,13,10,nan,nan
sï¿½ï¿½,"anuel aa, myke towers, jhay cortez",3,2021,11,18,903,0,177129919,30,26,15,0,0,90,f#,minor,63,75,75,17,0,11,8,nan,nan
la jumpa,"arcangel, bad bunny",2,2022,11,30,3794,34,538115192,47,77,53,10,8,123,g#,major,71,58,70,30,0,32,19,nan,nan
"arcï¿½ï¿½ngel: bzrp music sessions, vol","arcangel, bizarrap",2,2023,3,22,654,3,100409613,11,3,18,1,1,124,b,minor,72,79,78,55,0,15,30,nan,nan
se le ve,"arcangel, de la ghetto, justin quiles, lenny tavï¿½ï¿½rez, sech, dalex, dimelo flow, rich music",8,2021,8,12,1560,0,223319934,72,0,0,0,0,84,g,minor,56,61,76,10,0,14,11,nan,nan
505,arctic monkeys,1,2007,4,20,13985,25,1217120710,30,80,588,1,1,140,nan,major,52,20,85,0,0,7,5,united kingdom,indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; garage rock; uk; brit rock; post-punk; 00s; post-punk revival; sheffield; punk; male vocalists; britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; psychedelic rock
i wanna be yours,arctic monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,73,135,nan,minor,48,44,42,12,2,11,3,united kingdom,indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; garage rock; uk; brit rock; post-punk; 00s; post-punk revival; sheffield; punk; male vocalists; britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; psychedelic rock
why'd you only call me when you're high?,arctic monkeys,1,2013,1,1,23389,29,1267333350,54,70,"1,089",2,1,92,d,major,70,81,63,4,0,8,4,united kingdom,indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; garage rock; uk; brit rock; post-punk; 00s; post-punk revival; sheffield; punk; male vocalists; britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; psychedelic rock
do i wanna know?,arctic monkeys,1,2013,1,1,33783,26,1788326445,133,92,"2,733",1,26,85,f,major,55,42,53,17,0,22,3,united kingdom,indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; garage rock; uk; brit rock; post-punk; 00s; post-punk revival; sheffield; punk; male vocalists; britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; psychedelic rock
santa tell me,ariana grande,1,2013,12,13,9408,0,834129063,231,106,439,0,,133,g,major,46,53,63,5,0,30,18,united states,pop; female vocalists; rnb; ariana grande; nickelodeon; american; r&b; dance; soul; singer-songwriter; florida; dance-pop; electropop; sexy; usa; 3; bridgit mendler; soundtrack; seen live; female vocalist; 10s; teen pop; mariah carey; contemporary rnb; chillout; chill; cute; world; world music; boca raton; all; selena gomez; justin bieber; skitz0rz; uitluisteren artist; holloween skitz0rz; hip-hop; electronic; female; beautiful; guilty pleasure; hot; trap; sunflower; miley cyrus; my dance room; hip hop; pop rock; queen; electro house; english; perfect; edm; united states; demi lovato; victorious; fav888; rock; c; urban; house; g; k; 1; f; dance pop; j; 4; shit; r; lovely; disney; overrated; e; misc; 9; 2; 7; us; songs; 13; 5; 6; i; o; 8; 0; x; bats; r'n'b; d; shady; s; b; cancer; h; a; w; amazing voice; m
positions,ariana grande,1,2020,10,23,8207,0,1252563873,175,55,95,0,2,144,nan,major,73,66,80,44,0,9,12,united states,pop; female vocalists; rnb; ariana grande; nickelodeon; american; r&b; dance; soul; singer-songwriter; florida; dance-pop; electropop; sexy; usa; 3; bridgit mendler; soundtrack; seen live; female vocalist; 10s; teen pop; mariah carey; contemporary rnb; chillout; chill; cute; world; world music; boca raton; all; selena gomez; justin bieber; skitz0rz; uitluisteren artist; holloween skitz0rz; hip-hop; electronic; female; beautiful; guilty pleasure; hot; trap; sunflower; miley cyrus; my dance room; hip hop; pop rock; queen; electro house; english; perfect; edm; united states; demi lovato; victorious; fav888; rock; c; urban; house; g; k; 1; f; dance pop; j; 4; shit; r; lovely; disney; overrated; e; misc; 9; 2; 7; us; songs; 13; 5; 6; i; o; 8; 0; x; bats; r'n'b; d; shady; s; b; cancer; h; a; w; amazing voice; m
die for you - remix,"ariana grande, the weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,c#,minor,53,50,53,23,0,44,7,nan,nan
save your tears (with ariana grande) (remix),"ariana grande, the weeknd",2,2020,3,20,9161,5,1221813483,240,98,468,3,10,118,nan,major,65,63,79,3,0,10,3,nan,nan
"apna bana le (from ""bhediya"")","arijit singh, sachin-jigar",2,2022,11,5,86,0,139836056,11,101,0,0,48,94,a,major,59,44,56,80,0,6,3,nan,nan
"phir aur kya chahiye (from ""zara hatke zara bachke"")","arijit singh, sachin-jigar, amitabha bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,31,100,e,major,56,53,55,53,0,12,4,nan,nan
jhoome jo pathaan,"arijit singh, vishal dadlani, sukriti kakar, vishal-shekhar, shekhar ravjiani, kumaar",6,2022,12,22,138,4,1365184,13,78,2,0,0,105,g,major,82,62,74,10,0,33,7,nan,nan
billie eilish.,armani white,1,2022,1,20,2537,0,277132266,49,1,67,11,1,100,c#,major,90,75,50,11,0,9,26,nan,nan
volvï¿,"aventura, bad bunny",2,2021,8,3,5375,10,673801126,138,24,133,0,1,176,c#,major,73,79,86,42,0,7,18,nan,nan
wake me up - radio edit,avicii,1,2013,1,1,50887,34,1970673297,315,160,"6,284",1,46,124,d,major,53,66,78,0,0,16,5,sweden,house; electronic; dance; progressive house; electro house; swedish; seen live; electronica; edm; club; avicii; electro; dj; sweden; pop; trance; dubstep; techno; tech house; deep house; folktronica; eurodance; stockholm; tim berg
the nights,avicii,1,2014,1,1,17354,8,1456081449,92,122,"1,282",0,55,126,f#,major,53,66,85,2,0,24,4,sweden,house; electronic; dance; progressive house; electro house; swedish; seen live; electronica; edm; club; avicii; electro; dj; sweden; pop; trance; dubstep; techno; tech house; deep house; folktronica; eurodance; stockholm; tim berg
montagem - fr punk,"ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,"1,170",129,a,major,63,84,82,70,8,9,7,nan,nan
punto 40,"baby rasta, rauw alejandro",2,2022,9,22,3006,12,304079786,54,32,66,2,0,107,nan,major,87,20,83,0,4,31,9,nan,nan
"hey, mickey!",baby tate,1,2016,9,27,482,0,122763672,9,1,12,4,3,135,d,major,92,73,51,55,0,15,6,nan,nan
titi me preguntï¿,bad bunny,1,2022,5,6,9037,42,1264310836,124,133,139,14,166,107,f,minor,65,19,72,10,0,13,25,united states,nan
agosto,bad bunny,1,2022,5,6,897,0,246127838,6,20,8,0,0,115,c#,minor,85,72,58,9,0,49,12,united states,nan
dos mil 16,bad bunny,1,2022,5,6,892,3,338422004,10,24,11,0,0,130,c#,major,82,50,67,12,0,13,5,united states,nan
moscow mule,bad bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,2,100,f,minor,80,29,67,29,0,12,3,united states,nan
despuï¿½ï¿½s de la p,bad bunny,1,2022,5,6,2229,0,461558540,27,44,24,0,5,78,f,major,56,61,90,36,0,18,31,united states,nan
un verano sin ti,bad bunny,1,2022,5,6,1004,1,283332261,8,12,9,0,0,188,f,minor,50,41,50,69,0,12,6,united states,nan
aguacero,bad bunny,1,2022,5,6,829,0,283359161,4,15,10,0,0,121,f#,minor,86,67,65,42,0,35,7,united states,nan
yo no soy celoso,bad bunny,1,2022,5,6,1179,0,313113297,7,21,11,0,0,142,nan,major,87,93,59,28,0,17,5,united states,nan
un coco,bad bunny,1,2022,5,6,1029,28,403231558,5,28,9,0,0,152,b,major,84,74,69,21,0,18,6,united states,nan
where she goes,bad bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,a,minor,65,23,80,14,63,11,6,united states,nan
un ratito,bad bunny,1,2022,5,6,1112,6,417230415,7,30,13,1,1,93,nan,minor,79,22,55,31,0,12,5,united states,nan
efecto,bad bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,g,minor,80,23,48,14,0,6,5,united states,nan
yonaguni,bad bunny,1,2021,6,4,9644,28,1260594497,120,86,164,4,0,180,c#,major,64,44,65,28,0,14,12,united states,nan
neverita,bad bunny,1,2022,5,6,2590,30,671365962,20,64,35,6,0,122,a#,major,88,43,50,7,0,14,5,united states,nan
ensï¿½ï¿½ï¿½ï¿½ame,bad bunny,1,2022,5,6,1112,3,279737940,7,25,12,0,0,105,g#,major,81,77,79,19,0,47,8,united states,nan
el apagï¿½,bad bunny,1,2022,5,6,1209,0,212351890,9,7,14,0,1,118,g#,major,63,60,70,5,0,9,31,united states,nan
la zona,bad bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,c#,minor,76,81,80,20,0,25,4,united states,nan
a tu merced,bad bunny,1,2020,2,29,4214,11,685071800,21,20,40,0,0,92,nan,major,86,89,79,17,0,11,6,united states,nan
me fui de vacaciones,bad bunny,1,2022,5,6,1443,0,305650299,9,11,22,1,0,85,a#,major,71,43,65,23,0,9,5,united states,nan
coco chanel,"bad bunny, eladio carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,d,major,68,14,76,4,0,10,4,nan,nan
un x100to,"bad bunny, grupo frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,f#,minor,57,56,72,23,0,27,5,nan,nan
dakiti,"bad bunny, jhay cortez",2,2020,10,30,11215,21,1763363713,189,166,525,9,25,110,e,minor,73,14,57,40,0,11,5,nan,nan
tarot,"bad bunny, jhay cortez",2,2022,5,6,2482,20,608228647,27,77,22,2,0,114,b,minor,80,42,68,2,0,66,4,nan,nan
party,"bad bunny, rauw alejandro",2,2022,5,6,3185,4,614555082,38,64,37,3,36,97,a,major,83,47,80,2,0,24,9,nan,nan
callaita,"bad bunny, tainy",2,2019,5,31,9539,15,1304313953,162,116,355,7,0,176,d,major,61,24,62,60,0,24,31,nan,nan
otro atardecer,"bad bunny, the marï¿½ï",2,2022,5,6,1681,7,319546754,10,30,13,0,33,108,d,major,78,55,60,59,0,7,4,nan,nan
do they know it's christmas? - 1984 version,band aid,1,1984,11,25,14169,0,481697415,209,30,449,0,0,115,nan,major,60,23,57,0,2,27,3,nan,christmas; pop; 80s; rock; british; charity; supergroup; xmas; new wave; irish; male vocalists; christmas songs; alternative christmas; band aid; charity christmas; male; soft rock; duets; alternative; activist; english; bono; 80s pop; brutal death metal; duran duran; george michael; nostalgy; bob geldof; bestxmasever; travisrecommends; eighties-pop; christmas wonderland; xmas fun; artists for a cause; benefit album; female; instrumental; female vocalists; hard rock; uk; pop rock; world; britpop; awesome; england; peace; gay; smooth; synthpop; d2; cool; novelty; 80's; pop-rock; francais; francophone; europe; ireland; sting; david bowie; goregrind; collaborations; officially shit; dire; weihnachten; spandau ballet; os; paul mccartney; emotions; carols; heaven 17; phil collins; kool and the gang; all; boy george; british rock; ultravox; supergroups; paul weller; top250artists; contemporary rock; destroy rock and roll; done; 70s80s; my vinyl; status quo; big country; live aid; 80er pop; simon le bon; 60s-90s pop-rock; midge ure; paul young; seen on beavis and butt-head; happy birthday jesus; christmas 1984; bobbys shit; similar artists; nachmittagsmusik; uk ftw
space song,beach house,1,2015,1,1,17852,4,789753877,69,76,335,0,,147,nan,minor,51,62,79,22,13,14,3,united states,dream pop; seen live; indie pop; indie; lo-fi; dreamy; shoegaze; female vocalists; american; electronic; pop; indie rock; baltimore; alternative; psychedelic; ethereal; melancholic; mellow; folk; ambient; experimental; chillout; maryland; 00s; usa; dreampop; beach house; soft; rock; downtempo; beautiful; chill; electronica; neo-psychedelia; baroque pop; dream; gilbert
"sex, drugs, etc.",beach weather,1,2016,11,4,3006,16,480507035,47,60,87,12,124,144,e,minor,57,47,84,1,1,52,4,nan,nan
i'm good (blue),"bebe rexha, david guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,g,minor,56,38,97,4,0,35,4,nan,nan
chanel,"becky g, peso pluma",2,2023,3,30,681,10,161460990,15,92,21,2,26,132,d,major,85,53,68,40,0,9,4,nan,nan
gatita,bellakath,1,2022,10,3,1054,0,168684524,9,0,15,0,1,101,g,major,90,76,81,15,24,33,6,nan,nan
in the stars,benson boone,1,2022,4,29,2224,8,382199619,48,40,87,1,210,78,a#,major,36,30,54,34,0,14,5,nan,nan
cuff it,beyoncï¿,1,2022,7,29,7842,10,595900742,215,88,330,26,23,115,g,major,78,64,69,4,0,7,14,nan,nan
alien superstar,beyoncï¿,1,2022,7,29,2688,0,171788484,39,47,36,0,0,122,a#,minor,55,46,64,0,0,17,10,nan,nan
break my soul,beyoncï¿,1,2022,6,21,9724,0,354614964,222,61,259,14,2,115,c#,minor,70,87,88,4,0,26,8,nan,nan
still life,bigbang,1,2022,4,5,181,0,53909146,16,14,7,0,0,118,g#,major,68,24,58,44,0,6,3,united kingdom,k-pop; korean; hip-hop; big bang; kpop; pop; yg family; male vocalists; boyband; bigbang; dance; hip hop; rnb; g-dragon; yg entertainment; rap; k-hiphop; j-pop; korean hip-hop; sexy; asian; top; taeyang; boy band; k-music; daesung; electronic; r&b; seungri; <3; korean pop; k-hip hop; love; korea makes rap listenable; seen live; yg; tae yang; korean hip hop; boybands with lickable members; japanese; jpop; k-rnb; male; korea; k-urban; please let me lick you; nu jazz; my favorite artists; asian music; haru haru; rock; nu-jazz; k-rap; hot; want to see live; hot guys; best of korea; taeyang is fucking hot
los del espacio,"big one, duki, lit killah, maria becerra, fmk, rusherking, emilia, tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,nan,major,81,63,68,11,0,11,4,nan,nan
un finde | crossover #2,"big one, fmk, ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,56,192,b,major,50,85,52,11,0,28,6,nan,nan
"what was i made for? [from the motion picture ""barbie""]",billie eilish,1,2023,7,13,873,104,30546883,80,227,95,24,"1,173",78,nan,major,44,14,9,96,0,10,3,nan,nan
tv,billie eilish,1,2022,7,21,3009,2,338564981,68,89,65,0,25,141,e,minor,41,9,25,84,1,14,4,nan,nan
bored,billie eilish,1,2017,3,30,4204,0,777765388,39,45,250,0,0,120,g,major,60,11,33,90,0,8,5,nan,nan
happier than ever - edit,billie eilish,1,2021,7,28,1959,0,412795151,19,0,38,0,0,81,nan,major,45,12,57,7,0,23,3,nan,nan
happier than ever,billie eilish,1,2021,7,30,8476,0,1056760045,138,133,283,0,,65,nan,major,31,31,24,76,0,14,4,nan,nan
lovely - bonus track,"billie eilish, khalid",2,2017,8,11,15032,30,2355719893,221,96,"1,078",2,136,115,e,minor,35,12,30,93,0,10,3,nan,nan
white christmas,"bing crosby, john scott trotter & his orchestra, ken darby singers",3,1942,1,1,11940,0,395591396,73,79,123,0,0,96,a,major,23,19,25,91,0,40,3,nan,nan
"paulo londra: bzrp music sessions, vol. 23","bizarrap, paulo londra",2,2022,4,25,928,0,164163229,19,0,7,0,0,96,nan,major,61,32,90,25,0,10,9,nan,nan
"peso pluma: bzrp music sessions, vol. 55","bizarrap, peso pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,f,minor,85,81,67,26,0,12,5,nan,nan
"quevedo: bzrp music sessions, vol. 52","bizarrap, quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128,d,major,62,55,78,1,3,23,4,nan,nan
"tiago pzk: bzrp music sessions, vol. 48","bizarrap, tiago pzk",2,2021,12,29,1678,12,374191487,20,4,15,1,3,96,c#,minor,66,76,82,47,0,10,32,nan,nan
"villano antillano: bzrp music sessions, vol. 51","bizarrap, villano antillano",2,2022,6,8,1401,0,248511839,26,16,17,0,1,128,c#,minor,82,42,75,6,0,63,6,nan,nan
idgaf (with blackbear),"blackbear, boywithuke",2,2022,3,18,625,0,197643795,10,2,13,0,1,98,f,major,78,83,75,41,0,27,8,nan,nan
shut down,blackpink,1,2022,9,16,1524,17,482175240,53,120,62,0,2,110,nan,major,82,67,69,0,0,18,4,nan,nan
pink venom,blackpink,1,2022,8,19,1963,16,551305895,57,119,77,1,13,90,nan,major,80,71,69,2,0,27,10,nan,nan
typa girl,blackpink,1,2022,9,16,452,10,235549288,2,129,13,0,1,132,g,major,92,53,62,7,0,63,10,nan,nan
las morras,"blessd, peso pluma",2,2023,4,4,291,8,127026613,8,78,4,1,1,133,a,minor,78,90,84,31,0,7,4,nan,nan
jingle bell rock,bobby helms,1,1957,1,1,10326,0,741301563,165,99,104,0,,119,d,major,74,78,37,84,0,6,3,united states,country; christmas; rockabilly; oldies; male vocalists; 50s; american; xmas; rock and roll; bobby helms; 60s; usa; easy listening; rock n roll; crooners; indiana; classic rock; pop; rock; soul; 70s; 80s; singer-songwriter; vocal jazz; blues; holiday; all; male solo artist; vocal; jazz; dead; favorites; country-pop; swing; 90s; male vocalist; classic country; mood; music; old; forever; everything; bloomington; countrypolitan; christmas music; joululaulut; north america; traditional country; spotify; mistletunes; early rock; good ole homely country folk playing banjo yodeling; nashville sound; jingle bell rock; oir mas; moje standards; jingle bell; christmas list; christams; rokabilly; kinescope; 20th century pop; stupid flanders; jingle bell rocl; fin di anja; pasco
ojitos lindos,"bomba estï¿½ï¿½reo, bad b",2,2022,5,6,6135,38,1133865788,71,113,99,13,28,80,d#,minor,65,27,69,8,0,53,4,nan,nan
toxic,boywithuke,1,2021,9,10,1795,0,582981380,34,23,118,0,,180,g#,minor,59,69,61,84,0,46,36,nan,nan
rockin' around the christmas tree,brenda lee,1,1958,1,1,14994,0,769213520,191,168,206,0,,140,g#,major,70,85,41,71,0,45,5,united states,oldies; 60s; female vocalists; country; rockabilly; pop; christmas; brenda lee; 50s; rock and roll; american; jazz; female; female vocalist; rock n roll; classic rock; rock; soul; rock 'n' roll; georgia; vocal; usa; rockabilly women; swing; imelda may; nina and the hot spots; classic; country-pop; blues; classic country; atlanta; all; golden oldies; female rockabilly; vocal jazz; retro; the ladies that should sit on my sofa or somewhere else in my flat because they are darlings and oh so lovely; rhythm and blues; female vocal; female voices; jump blues; brenda; nashville sound; devil doll; feminine cavern of love; seen live; 70s; 80s; sexy; easy listening; female vocals; 50's; 60's; the beatles; girl groups; lee; connie francis; new swing; 60s girls; easy listning; pra; pure sex; am pop; my ladies; just cant get enough; free range caucasians; kittycow; femalie vocalists; rockabilly female vocalists; smell of female
my only wish (this year),britney spears,1,2000,11,7,6952,0,261116938,115,53,286,0,0,147,nan,major,67,69,72,17,0,19,3,united states,pop; dance; female vocalists; britney spears; legend; american; seen live; sexy; female; 90s; electronic; 00s; britney; diva; teen pop; bitch; female vocalist; dance-pop; queen of pop; rock; officially shit; electropop; guilty pleasure; rnb; hot; guilty pleasures; brutal death metal; pop princess; amazing; usa; love; shit; princess of pop; pop rock; alternative; dance pop; crap; queen; all things annoying in the world put together into one stupid bitch; beautiful; gay; its britney bitch; electro; party; madonna; hip-hop; dubstep; princess; emo; singer-songwriter; fun; icon; english; black metal; r&b; living legend; female vocal; toxic; wanessa; electronica; awesome; favorite; sweet; indie; club; sex; house; trance; death metal
lokera,"brray, rauw alejandro, lyanno",3,2022,7,25,3301,30,471819764,72,64,64,6,3,102,b,minor,83,58,83,21,0,10,5,nan,nan
when i was your man,bruno mars,1,2012,12,5,2420,11,1661187319,0,0,806,0,0,145,nan,major,60,43,27,94,0,14,4,united states,pop; rnb; male vocalists; r&b; slow jams; bruno mars; soul; american; singer-songwriter; seen live; funk; reggae; hip-hop; indie; romantic; rock; bruno; hip hop; usa; pop rock; alternative; male vocalist; blues; dance; rhythm and blues; hawaii; 2010s; sexy; soft rock; grenade; folk; acoustic; english; hawaiian; r'n'b
locked out of heaven,bruno mars,1,2012,12,5,1622,9,1481349984,0,0,356,0,0,144,f,major,73,87,70,6,0,28,5,united states,pop; rnb; male vocalists; r&b; slow jams; bruno mars; soul; american; singer-songwriter; seen live; funk; reggae; hip-hop; indie; romantic; rock; bruno; hip hop; usa; pop rock; alternative; male vocalist; blues; dance; rhythm and blues; hawaii; 2010s; sexy; soft rock; grenade; folk; acoustic; english; hawaiian; r'n'b
